row,col,sku,quantity
1,1,2352389572,20
1,5,2352389572,30
2,3,8761298345,15
2,7,8761298345,20
1,2,6432198756,50
3,6,6432198756,50
3,1,3289765410,45
4,4,3289765410,35
2,2,7612345098,15
5,5,7612345098,10
3,3,1098234567,25
1,6,1098234567,15
4,2,5432109876,30
2,5,9876543210,40
5,3,9876543210,20
1,3,4567891234,25
3,7,4567891234,20
5,1,2345678901,70
3,4,2345678901,50
2,6,8901234567,30
4,8,8901234567,20
1,7,3456789012,10
5,2,3456789012,10
4,1,7890123456,20
3,5,7890123456,15
2,4,6789012345,45
5,8,6789012345,30
1,8,1234567890,15
4,5,1234567890,15
