sku,name,price,quantity
2352389572,Toy Car,5.9,156
8761298345,Wireless Headphones,89.99,150
6432198756,Coffee Mug,12.5,251
3289765410,USB-C Cable,15.25,140
7612345098,Gaming Mouse,45.5,100
1098234567,LED Desk Lamp,29.99,165
5432109876,Bluetooth Speaker,65.75,90
9876543210,Water Bottle,18.99,100
4567891234,Power Bank,32.5,135
2345678901,Notebook Set,9.99,120
8901234567,Wireless Charger,24.75,110
3456789012,Fitness Tracker,79.99,20
7890123456,Backpack,42.5,35
6789012345,Smartphone Case,19.99,117
1234567890,Wireless Keyboard,54.99,30
WDG001,Widget,10.99,50
GZM002,Gizmo,19.99,30
THM003,Thingamajig,5.99,100
DHI004,Doohickey,15.99,20
GDT005,Gadget,8.99,25
CNT006,Contraption,12.99,15
APT007,Apparatus,6.99,40
TL008,Tool,9.99,35
ACC009,Accessory,14.99,10
IMP010,Implement,7.99,45
UTL011,Utensil,11.99,20
DEV012,Device,16.99,30
EQT013,Equipment,18.99,25
FIX014,Fixture,22.99,5
APP1335,Apple,30.0,10
BAN7151,Bananan,5.0,30
CAK8498,Cake,40.0,20
DIR5775,Dirt,20.0,50
